# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_000010525.1,PRJNA58905,,,representative genome,438753,7,Azorhizobium caulinodans ORS 571,,,latest,Complete Genome,Major,Full,2007/10/16,ASM1052v1,,GCA_000010525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000010525.1_ASM1052v1,3.0,1.0,4659.0,5369772.0,GCF_000010525.1_Azorhizobium caulinodans ORS 571,0.596754222164,67.3190221112,4932.0,@GCF_000010525.1_Azorhizobium_caulinodans_ORS_571,191.0,0.0462089,46.0
GCF_000007365.1,PRJNA57913,SAMN02604269,,representative genome,198804,9,Buchnera aphidicola str. Sg (Schizaphis graminum),strain=Sg (Schizaphis graminum),,latest,Complete Genome,Major,Full,2002/07/02,ASM736v1,,GCA_000007365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007365.1_ASM736v1,1.0,1.0,561.0,641454.0,GCF_000007365.1_Buchnera aphidicola str. Sg (Schizaphis graminum)_strain=Sg (Schizaphis graminum),0.681762907158,25.3305770952,1730.0,@GCF_000007365.1_Buchnera_aphidicola_str._Sg__Schizaphis_graminum__strain_Sg__Schizaphis_graminum_,67.0,0.0254499,106.0
GCF_000007725.1,PRJNA57827,SAMN02604289,,representative genome,224915,9,Buchnera aphidicola str. Bp (Baizongia pistaciae),strain=Bp (Baizongia pistaciae),,latest,Complete Genome,Major,Full,2003/01/29,ASM772v1,,GCA_000007725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007725.1_ASM772v1,1.0,2.0,518.0,618379.0,GCF_000007725.1_Buchnera aphidicola str. Bp (Baizongia pistaciae)_strain=Bp (Baizongia pistaciae),0.749995522507,25.3634922562,1724.0,@GCF_000007725.1_Buchnera_aphidicola_str._Bp__Baizongia_pistaciae__strain_Bp__Baizongia_pistaciae_,63.0,0.090297,253.0
GCF_000009605.1,PRJNA57805,,,reference genome,107806,9,Buchnera aphidicola str. APS (Acyrthosiphon pisum),strain=APS,Tokyo1998,latest,Complete Genome,Major,Full,2004/05/11,ASM960v1,,GCA_000009605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009605.1_ASM960v1,1.0,3.0,574.0,655725.0,GCF_000009605.1_Buchnera aphidicola str. APS (Acyrthosiphon pisum)_strain=APS,0.679641629964,27.8805269884,1735.0,@GCF_000009605.1_Buchnera_aphidicola_str._APS__Acyrthosiphon_pisum__strain_APS,74.0,1.13302e-06,255.0
GCF_000021065.1,PRJNA59283,SAMN02604133,,na,561501,9,Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),strain=Tuc7 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2009/01/06,ASM2106v1,,GCA_000021065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021065.1_ASM2106v1,1.0,1.0,577.0,641895.0,,,26.2924621628,,,,,
GCF_000021085.1,PRJNA59285,SAMN02604134,,na,563178,9,Buchnera aphidicola str. 5A (Acyrthosiphon pisum),strain=5A (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2009/01/06,ASM2108v1,,GCA_000021085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021085.1_ASM2108v1,1.0,1.0,577.0,642122.0,,,26.2856591115,,,,,
GCF_000090965.1,PRJNA58579,SAMN02604290,,representative genome,372461,9,Buchnera aphidicola BCc,strain=BCc,,latest,Complete Genome,Major,Full,2006/10/18,ASM9096v1,Valencia Univ.,GCA_000090965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000090965.1_ASM9096v1,1.0,2.0,366.0,422434.0,GCF_000090965.1_Buchnera aphidicola BCc_strain=BCc,0.898684702552,23.6923851975,1725.0,@GCF_000090965.1_Buchnera_aphidicola_BCc_strain_BCc,36.0,0.106352,171.0
GCF_000174075.1,PRJNA55847,SAMN02470818,ACFK00000000.1,na,593275,9,Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum),strain=LSR1 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2009/03/02,ASM17407v1,,GCA_000174075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000174075.1_ASM17407v1,1.0,1.0,574.0,642011.0,,,26.291449835,,,,,
GCF_000183225.1,PRJNA158843,SAMN02604265,,na,713603,9,Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),strain=LL01 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2010/11/04,ASM18322v1,,GCA_000183225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000183225.1_ASM18322v1,1.0,1.0,535.0,641799.0,,,26.2974856614,,,,,
GCF_000183245.1,PRJNA158849,SAMN02604266,,na,713602,9,Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),strain=TLW03 (Acyrthosiphon pisum),,latest,Complete Genome,Major,Full,2010/11/04,ASM18324v1,,GCA_000183245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000183245.1_ASM18324v1,1.0,1.0,522.0,641770.0,,,26.2980507035,,,,,
