# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_000010525.1,PRJNA224116,SAMD00060925,,representative genome,438753,7,Azorhizobium caulinodans ORS 571,strain=ORS 571,,latest,Complete Genome,Major,Full,2007/10/16,ASM1052v1,University of Tokyo,GCA_000010525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,,3.0,1.0,4659.0,5369772.0,GCF_000010525.1_Azorhizobium caulinodans ORS 571_strain=ORS 571,0.582784454791,67.3190221112,1.0,@GCF_000010525.1_Azorhizobium_caulinodans_ORS_571_strain_ORS_571,197.0,0.0404287,46.0
GCF_000007365.1,PRJNA224116,SAMN02604269,,representative genome,198804,9,Buchnera aphidicola str. Sg (Schizaphis graminum),strain=Sg,,latest,Complete Genome,Major,Full,2002/07/02,ASM736v1,Uppsala Univ.,GCA_000007365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,,1.0,1.0,561.0,641454.0,GCF_000007365.1_Buchnera aphidicola str. Sg (Schizaphis graminum)_strain=Sg,0.686155161529,25.3305770952,1892.0,@GCF_000007365.1_Buchnera_aphidicola_str._Sg__Schizaphis_graminum__strain_Sg,68.0,0.0195091,106.0
GCF_000007725.1,PRJNA224116,SAMN02604289,,representative genome,224915,9,Buchnera aphidicola str. Bp (Baizongia pistaciae),strain=Bp (Baizongia pistaciae),,latest,Complete Genome,Major,Full,2003/01/29,ASM772v1,Valencia Univ.,GCA_000007725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1,,1.0,2.0,518.0,618379.0,GCF_000007725.1_Buchnera aphidicola str. Bp (Baizongia pistaciae)_strain=Bp (Baizongia pistaciae),0.753147986423,25.3415785465,1890.0,@GCF_000007725.1_Buchnera_aphidicola_str._Bp__Baizongia_pistaciae__strain_Bp__Baizongia_pistaciae_,63.0,0.0827442,253.0
GCF_000009605.1,PRJNA57805,SAMD00061095,,reference genome,107806,9,Buchnera aphidicola str. APS (Acyrthosiphon pisum),strain=APS,Tokyo1998,latest,Complete Genome,Major,Full,2004/05/11,ASM960v1,Rikken GSC,GCA_000009605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/605/GCF_000009605.1_ASM960v1,,1.0,3.0,574.0,655725.0,GCF_000009605.1_Buchnera aphidicola str. APS (Acyrthosiphon pisum)_strain=APS,0.682844008731,26.3648633192,1900.0,@GCF_000009605.1_Buchnera_aphidicola_str._APS__Acyrthosiphon_pisum__strain_APS,73.0,1e-06,255.0
GCF_000021065.1,PRJNA224116,SAMN02604133,,na,561501,9,Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),strain=Tuc7,,latest,Complete Genome,Major,Full,2009/01/06,ASM2106v1,University of Arizona,GCA_000021065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/065/GCF_000021065.1_ASM2106v1,,1.0,1.0,577.0,641895.0,,,26.2924621628,,,,,
GCF_000021085.1,PRJNA224116,SAMN02604134,,na,563178,9,Buchnera aphidicola str. 5A (Acyrthosiphon pisum),strain=5A,,latest,Complete Genome,Major,Full,2009/01/06,ASM2108v1,University of Arizona,GCA_000021085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/085/GCF_000021085.1_ASM2108v1,,1.0,1.0,577.0,642122.0,,,26.2856591115,,,,,
GCF_000090965.1,PRJNA224116,SAMN02604290,,representative genome,372461,9,Buchnera aphidicola BCc,strain=BCc,,latest,Complete Genome,Major,Full,2006/10/18,ASM9096v1,Valencia Univ.,GCA_000090965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/965/GCF_000090965.1_ASM9096v1,,1.0,2.0,366.0,422434.0,GCF_000090965.1_Buchnera aphidicola BCc_strain=BCc,0.900032729841,20.2000785922,1888.0,@GCF_000090965.1_Buchnera_aphidicola_BCc_strain_BCc,40.0,0.0840168,171.0
GCF_000183225.1,PRJNA224116,SAMN02604265,,na,713603,9,Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),strain=LL01,,latest,Complete Genome,Major,Full,2010/11/04,ASM18322v1,University of York,GCA_000183225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/225/GCF_000183225.1_ASM18322v1,,1.0,1.0,535.0,641799.0,,,26.2974856614,,,,,
GCF_000183245.1,PRJNA224116,SAMN02604266,,na,713602,9,Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),strain=TLW03,,latest,Complete Genome,Major,Full,2010/11/04,ASM18324v1,University of York,GCA_000183245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/245/GCF_000183245.1_ASM18324v1,,1.0,1.0,522.0,641770.0,,,26.2980507035,,,,,
GCF_000183285.1,PRJNA224116,SAMN02604267,,na,713601,9,Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),strain=JF99,,latest,Complete Genome,Major,Full,2010/11/04,ASM18328v1,University of York,GCA_000183285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/285/GCF_000183285.1_ASM18328v1,,1.0,1.0,562.0,641716.0,GCF_000183285.1_Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)_strain=JF99,0.696541737427,26.2863946045,1898.0,@GCF_000183285.1_Buchnera_aphidicola_str._JF99__Acyrthosiphon_pisum__strain_JF99,68.0,0.00117421,109.0
